Date and Time:                Wed May 25 12:28:49.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              272
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



262.02127	311
262.0311	323
262.04095	317
262.05078	319
262.06061	321
262.07043	316
262.08026	323
262.09009	324
262.09991	314
262.10974	320
262.11957	322
262.12939	317
262.13922	321
262.14905	321
262.15887	321
262.1687	317
262.17853	319
262.18835	319
262.19818	323
262.20801	324
262.21783	315
262.22766	321
262.23749	324
262.24731	322
262.25714	319
262.26697	319
262.27676	319
262.28659	319
262.29642	319
262.30624	314
262.31607	317
262.3259	321
262.33572	327
262.34555	320
262.35538	315
262.3652	317
262.37503	323
262.38486	318
262.39465	318
262.40448	321
262.41431	321
262.42413	320
262.43396	317
262.44379	321
262.45361	329
262.46344	316
262.47324	325
262.48306	325
262.49289	323
262.50272	318
262.51254	318
262.52237	322
262.53217	314
262.54199	330
262.55182	322
262.56165	320
262.57147	326
262.5813	326
262.59109	319
262.60092	322
262.61075	318
262.62057	316
262.63037	324
262.6402	326
262.65002	324
262.65985	320
262.66968	325
262.67947	322
262.6893	325
262.69913	320
262.70895	317
262.71875	316
262.72858	323
262.7384	322
262.7482	314
262.75803	323
262.76785	321
262.77768	314
262.78748	324
262.7973	323
262.80713	328
262.81693	328
262.82675	319
262.83658	324
262.84637	323
262.8562	322
262.86603	328
262.87585	318
262.88565	318
262.89548	320
262.90527	319
262.9151	316
262.92493	318
262.93472	325
262.94455	316
262.95438	319
262.96417	319
262.974	320
262.98383	329
262.99362	319
263.00345	316
263.01324	319
263.02307	320
263.0329	321
263.04269	316
263.05252	322
263.06232	329
263.07214	324
263.08194	320
263.09177	323
263.10159	317
263.11139	320
263.12122	318
263.13101	315
263.14084	318
263.15063	324
263.16046	316
263.17026	328
263.18008	324
263.18988	326
263.19971	320
263.2095	331
263.21933	326
263.22913	321
263.23895	323
263.24875	325
263.25858	316
263.26837	324
263.2782	324
263.28799	323
263.29782	319
263.30762	320
263.31744	319
263.32724	319
263.33707	320
263.34686	324
