Date and Time:                Mon Apr 25 12:44:54.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	309
388.15466	307
388.16342	298
388.17215	297
388.18091	299
388.18967	299
388.19843	303
388.20715	302
388.21591	299
388.22467	305
388.2334	305
388.24216	305
388.25092	296
388.25967	299
388.2684	306
388.27716	305
388.28592	305
388.29465	301
388.30341	304
388.31216	306
388.32089	299
388.32965	305
388.33838	299
388.34714	303
388.3559	297
388.36462	305
388.37338	305
388.38214	301
388.39087	303
388.39963	302
388.40836	303
388.41711	298
388.42587	306
388.4346	309
388.44336	307
388.45209	306
388.46085	300
388.46957	299
388.47833	306
388.48706	303
388.49582	306
388.50455	311
388.51331	304
388.52203	301
388.53079	299
388.53952	307
388.54828	302
388.55701	302
388.56577	305
388.57449	308
388.58325	302
388.59198	306
388.60074	302
388.60947	297
388.61823	299
388.62695	299
388.63571	303
388.64444	304
388.65317	304
388.66193	303
388.67065	304
388.67941	304
388.68814	301
388.69687	303
388.70563	307
388.71436	303
388.72311	305
388.73184	295
388.74057	307
388.74933	301
388.75806	307
388.76678	305
388.77554	307
388.78427	298
388.793	295
388.80176	306
388.81049	308
388.81921	298
388.82797	308
388.8367	299
388.84543	302
388.85416	302
388.86292	298
388.87164	299
388.88037	293
388.88913	303
388.89786	300
388.90659	303
388.91531	304
388.92407	306
388.9328	308
388.94153	306
388.95026	302
388.95898	306
388.96774	301
388.97647	304
388.9852	307
388.99393	309
389.00266	300
389.01141	302
389.02014	306
389.02887	297
389.0376	302
389.04633	304
389.05505	302
389.06378	306
389.07254	304
389.08127	300
389.09	301
389.09872	305
389.10745	303
389.11618	300
389.12491	297
389.13364	303
389.14236	300
389.15112	303
389.15985	303
389.16858	297
389.17731	298
389.18604	303
389.19476	298
389.20349	309
389.21222	300
389.22095	299
389.22968	302
389.2384	305
389.24713	304
389.25586	300
389.26459	298
389.27332	298
389.28204	303
389.29077	306
389.2995	303
389.30823	300
389.31696	303
389.32568	302
