Date and Time:                Fri Sep 9 18:56:08.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              276
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



254.33386	302
254.35513	307
254.37642	310
254.39769	305
254.41898	301
254.44025	308
254.46153	307
254.4828	297
254.50407	300
254.52536	312
254.54663	306
254.56792	309
254.58919	305
254.61046	304
254.63174	305
254.65302	304
254.67429	304
254.69557	306
254.71684	301
254.73811	304
254.75938	307
254.78067	301
254.80194	309
254.82321	305
254.84448	311
254.86575	303
254.88704	302
254.90831	302
254.92958	305
254.95085	305
254.97212	303
254.99339	303
255.01468	309
255.03595	303
255.05722	301
255.07849	311
255.09976	305
255.12103	308
255.1423	302
255.16357	303
255.18484	309
255.20612	309
255.22739	308
255.24866	298
255.26993	317
255.2912	303
255.31247	302
255.33374	305
255.35501	303
255.37628	308
255.39755	305
255.41882	305
255.44008	301
255.46135	303
255.48262	308
255.50389	313
255.52516	308
255.54643	303
255.56769	304
255.58896	313
255.61023	302
255.6315	301
255.65277	301
255.67403	304
255.6953	301
255.71657	307
255.73784	307
255.75909	307
255.78036	308
255.80164	307
255.82289	311
255.84416	301
255.86543	305
255.88669	303
255.90796	305
255.92921	301
255.95049	300
255.97176	309
255.99301	305
256.01428	300
256.03555	308
256.05679	301
256.07806	306
256.09933	306
256.12061	308
256.14185	306
256.16312	305
256.18439	304
256.20566	302
256.2269	307
256.24817	306
256.26944	309
256.29068	301
256.31195	306
256.33322	315
256.35449	299
256.37573	305
256.397	306
256.41827	307
256.43951	301
256.46078	309
256.48206	302
256.5033	303
256.52457	308
256.54581	300
256.56708	305
256.58835	308
256.60959	306
256.63086	310
256.65213	302
256.67337	303
256.69464	305
256.71588	303
256.73715	310
256.75839	307
256.77966	303
256.80093	304
256.82217	304
256.84344	303
256.86469	310
256.88596	297
256.9072	308
256.92847	298
256.94971	303
256.97098	300
256.99222	308
257.01349	310
257.03473	301
257.056	302
257.07724	305
257.09851	312
257.11975	301
257.14102	307
257.16226	308
257.18353	307
