Date and Time:                Thu Feb 2 16:24:19.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



376.01678	311
376.03741	303
376.05804	308
376.07867	300
376.0993	314
376.11993	306
376.14059	303
376.16122	305
376.18185	304
376.20248	309
376.22311	300
376.24374	311
376.26437	304
376.285	302
376.30563	303
376.32626	303
376.34689	305
376.36752	305
376.38815	306
376.40878	304
376.42941	306
376.45004	298
376.47064	307
376.49127	307
376.5119	304
376.53253	303
376.55316	301
376.57379	309
376.59442	305
376.61505	300
376.63568	313
376.65631	301
376.67694	307
376.69754	305
376.71817	304
376.7388	309
376.75943	303
376.78006	302
376.80069	307
376.82129	308
376.84192	303
376.86255	304
376.88318	306
376.90381	301
376.92441	312
376.94504	305
376.96567	300
376.9863	299
377.0069	303
377.02753	304
377.04816	306
377.06879	304
377.08939	303
377.11002	305
377.13065	308
377.15128	305
377.17188	306
377.1925	304
377.21313	310
377.23373	307
377.25436	307
377.27499	309
377.29559	304
377.31622	302
377.33685	306
377.35745	304
377.37808	302
377.39868	300
377.41931	303
377.43994	304
377.46054	305
377.48117	307
377.50177	307
377.5224	298
377.543	306
377.56363	307
377.58426	302
377.60486	306
377.62549	304
377.64609	303
377.66672	297
377.68732	298
377.70795	303
377.72855	299
377.74918	302
377.76978	307
377.79041	302
377.811	305
377.83163	306
377.85223	306
377.87283	306
377.89346	301
377.91406	303
377.93469	303
377.95529	301
377.97592	304
377.99652	302
378.01712	302
378.03775	303
378.05835	303
378.07895	305
378.09958	298
378.12018	307
378.14081	307
378.16141	300
378.18201	308
378.20264	304
378.22324	303
378.24384	302
378.26443	305
378.28506	298
378.30566	306
378.32626	304
378.34689	302
378.36749	311
378.38809	294
378.40869	304
378.42932	306
378.44992	307
378.47052	304
378.49112	305
378.51175	301
378.53235	304
378.55295	298
378.57355	306
378.59415	304
378.61475	301
378.63538	301
378.65598	308
378.67657	307
378.69717	307
378.71777	303
378.73837	299
378.759	305
378.7796	306
378.8002	307
