Date and Time:                Thu Feb 2 16:26:04.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



376.01678	308
376.03741	306
376.05804	304
376.07867	313
376.0993	311
376.11993	303
376.14059	305
376.16122	310
376.18185	305
376.20248	304
376.22311	308
376.24374	304
376.26437	314
376.285	303
376.30563	303
376.32626	307
376.34689	304
376.36752	302
376.38815	309
376.40878	303
376.42941	305
376.45004	304
376.47064	309
376.49127	304
376.5119	297
376.53253	305
376.55316	305
376.57379	306
376.59442	301
376.61505	311
376.63568	303
376.65631	307
376.67694	302
376.69754	307
376.71817	304
376.7388	301
376.75943	306
376.78006	305
376.80069	309
376.82129	302
376.84192	306
376.86255	305
376.88318	303
376.90381	305
376.92441	311
376.94504	310
376.96567	301
376.9863	303
377.0069	304
377.02753	306
377.04816	304
377.06879	308
377.08939	312
377.11002	306
377.13065	301
377.15128	307
377.17188	305
377.1925	305
377.21313	308
377.23373	313
377.25436	301
377.27499	300
377.29559	305
377.31622	302
377.33685	312
377.35745	305
377.37808	306
377.39868	302
377.41931	314
377.43994	306
377.46054	309
377.48117	309
377.50177	302
377.5224	304
377.543	307
377.56363	308
377.58426	296
377.60486	308
377.62549	310
377.64609	302
377.66672	310
377.68732	312
377.70795	300
377.72855	307
377.74918	309
377.76978	307
377.79041	304
377.811	309
377.83163	305
377.85223	300
377.87283	305
377.89346	306
377.91406	305
377.93469	303
377.95529	306
377.97592	303
377.99652	307
378.01712	310
378.03775	308
378.05835	302
378.07895	307
378.09958	315
378.12018	305
378.14081	311
378.16141	308
378.18201	307
378.20264	308
378.22324	305
378.24384	308
378.26443	315
378.28506	305
378.30566	303
378.32626	298
378.34689	305
378.36749	302
378.38809	301
378.40869	301
378.42932	308
378.44992	311
378.47052	304
378.49112	299
378.51175	302
378.53235	303
378.55295	303
378.57355	306
378.59415	305
378.61475	306
378.63538	299
378.65598	304
378.67657	305
378.69717	299
378.71777	305
378.73837	302
378.759	307
378.7796	309
378.8002	307
