Date and Time:                Sat Nov 11 16:06:59.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         50
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              388
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



366.96136	499
366.98206	484
367.00275	480
367.02341	474
367.0441	479
367.06479	486
367.08548	483
367.10617	480
367.12683	476
367.14752	471
367.16821	478
367.1889	492
367.20956	483
367.23026	481
367.25095	471
367.27161	474
367.2923	478
367.31299	469
367.33368	487
367.35434	469
367.37503	477
367.39572	473
367.41638	486
367.43707	475
367.45776	473
367.47842	481
367.49911	474
367.51981	473
367.54047	473
367.56116	469
367.58182	471
367.60251	470
367.6232	477
367.64386	483
367.66455	476
367.68521	486
367.7059	476
367.72656	473
367.74725	475
367.76794	483
367.7886	470
367.8093	472
367.82996	478
367.85065	467
367.87131	514
367.892	468
367.91266	463
367.93335	465
367.95401	473
367.9747	472
367.99536	469
368.01605	467
368.03671	475
368.05737	474
368.07806	474
368.09872	470
368.11942	476
368.14008	487
368.16077	469
368.18143	470
368.20209	472
368.22278	463
368.24344	487
368.2641	459
368.28479	474
368.30545	463
368.32614	474
368.3468	473
368.36746	491
368.38815	474
368.40881	465
368.42947	472
368.45013	480
368.47083	469
368.49149	479
368.51215	472
368.53284	471
368.5535	465
368.57416	476
368.59482	472
368.61551	460
368.63617	476
368.65683	468
368.67749	457
368.69818	457
368.71884	470
368.7395	468
368.76016	465
368.78082	472
368.80151	464
368.82217	468
368.84283	458
368.86349	468
368.88416	469
368.90482	451
368.92548	458
368.94617	475
368.96683	451
368.98749	460
369.00815	462
369.02881	455
369.04947	457
369.07013	453
369.09079	454
369.11145	457
369.13211	466
369.1528	451
369.17346	462
369.19412	471
369.21478	484
369.23544	450
369.2561	456
369.27676	463
369.29742	453
369.31808	459
369.33875	456
369.35941	456
369.38007	463
369.40073	463
369.42139	471
369.44205	448
369.46268	449
369.48334	450
369.504	465
369.52466	461
369.54532	463
369.56598	453
369.58664	454
369.6073	449
369.62796	468
369.64862	453
369.66928	453
369.68991	447
369.71057	442
369.73123	456
369.75189	447
