Date and Time:                Tue Apr 26 12:06:35.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         4
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              410
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



389.09818	318
389.11874	315
389.13928	321
389.15985	321
389.18039	319
389.20096	320
389.2215	307
389.24207	319
389.2626	316
389.28317	317
389.30371	323
389.32428	313
389.34482	318
389.36539	312
389.38593	316
389.40649	312
389.42703	314
389.4476	316
389.46814	322
389.48871	316
389.50925	318
389.52979	309
389.55035	318
389.57089	309
389.59146	315
389.612	314
389.63254	318
389.65311	311
389.67365	320
389.69421	317
389.71475	314
389.73529	315
389.75586	322
389.7764	319
389.79694	320
389.8175	319
389.83804	313
389.85858	310
389.87912	312
389.89969	313
389.92023	312
389.94077	312
389.96133	315
389.98187	315
390.00241	323
390.02295	319
390.04352	316
390.06406	320
390.08459	313
390.10513	312
390.12567	309
390.14624	308
390.16678	314
390.18732	334
390.20786	332
390.22839	319
390.24893	314
390.2695	318
390.29004	325
390.31058	334
390.33112	318
390.35165	314
390.37219	320
390.39273	314
390.41327	314
390.43384	320
390.45438	323
390.47491	312
390.49545	318
390.51599	312
390.53653	309
390.55707	319
390.57761	327
390.59814	315
390.61868	333
390.63922	381
390.65976	378
390.6803	341
390.70084	324
390.72137	318
390.74191	322
390.76245	315
390.78299	312
390.80353	311
390.82407	308
390.8446	316
390.86514	316
390.88568	311
390.90622	307
390.92673	315
390.94727	315
390.9678	318
390.98834	315
391.00888	316
391.02942	312
391.04996	312
391.0705	316
391.091	307
391.11154	318
391.13208	319
391.15262	313
391.17316	311
391.1937	317
391.2142	307
391.23474	316
391.25528	319
391.27582	321
391.29633	314
391.31686	314
391.3374	320
391.35794	317
391.37845	311
391.39899	309
391.41953	315
391.44006	314
391.46057	304
391.48111	311
391.50165	311
391.52216	317
391.54269	312
391.56323	313
391.58374	312
391.60428	320
391.62482	312
391.64532	322
391.66586	318
391.6864	326
391.70691	315
391.72745	314
391.74799	315
391.76849	319
391.78903	316
391.80954	315
391.83008	311
391.85059	313
391.87112	315
