Date and Time:                Thu Oct 27 15:23:06.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283.2
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



261.5708	315
261.59204	303
261.61328	311
261.63452	304
261.65576	304
261.677	310
261.69827	312
261.71951	308
261.74075	313
261.76199	309
261.78323	308
261.80447	304
261.82571	303
261.84695	312
261.86819	306
261.88943	303
261.91068	313
261.93192	303
261.95316	309
261.9744	303
261.99564	306
262.01688	305
262.03812	303
262.05936	302
262.0806	300
262.10184	303
262.12308	307
262.14432	308
262.16556	310
262.1868	305
262.20801	304
262.22925	303
262.25049	309
262.27173	303
262.29297	309
262.31421	306
262.33545	306
262.35669	308
262.37793	309
262.39917	310
262.42038	304
262.44162	309
262.46286	307
262.4841	307
262.50534	309
262.52658	312
262.54782	303
262.56903	306
262.59027	301
262.61151	302
262.63275	308
262.65399	306
262.6752	314
262.69644	305
262.71768	306
262.73892	303
262.76016	307
262.78137	309
262.80261	303
262.82385	310
262.84509	317
262.8663	307
262.88754	311
262.90878	304
262.93002	308
262.95123	307
262.97247	301
262.99371	305
263.01492	305
263.03616	311
263.0574	305
263.07861	311
263.09985	306
263.12109	303
263.1423	307
263.16354	305
263.18478	304
263.20599	310
263.22723	302
263.24847	309
263.26968	308
263.29092	308
263.31216	310
263.33337	300
263.35461	308
263.37582	303
263.39706	306
263.4183	306
263.43951	306
263.46075	316
263.48196	306
263.5032	299
263.52441	309
263.54565	311
263.56686	305
263.5881	306
263.60934	306
263.63055	304
263.65179	302
263.673	304
263.69424	307
263.71545	309
263.73669	302
263.7579	305
263.77914	306
263.80035	310
263.82159	312
263.8428	305
263.86401	311
263.88525	299
263.90646	305
263.9277	308
263.94891	309
263.97015	307
263.99136	301
264.0126	302
264.03381	302
264.05502	304
264.07626	303
264.09747	308
264.11868	309
264.13992	312
264.16113	300
264.18237	302
264.20358	304
264.22479	316
264.24603	306
264.26724	307
264.28845	301
264.30969	305
264.3309	307
264.35211	303
264.37335	297
264.39456	309
264.41577	307
