Date and Time:                Fri Oct 7 11:59:26.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.2
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              225
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



203.08546	301
203.10698	305
203.12848	304
203.14999	307
203.17151	304
203.19302	308
203.21452	302
203.23604	301
203.25755	311
203.27905	306
203.30057	303
203.32208	304
203.34358	308
203.3651	312
203.38661	305
203.40811	304
203.42963	300
203.45113	309
203.47264	310
203.49416	312
203.51566	307
203.53717	302
203.55867	306
203.58018	297
203.60168	304
203.6232	305
203.6447	304
203.66621	308
203.68771	306
203.70923	307
203.73073	311
203.75224	309
203.77374	300
203.79526	305
203.81676	298
203.83827	309
203.85977	305
203.88127	310
203.90279	309
203.92429	305
203.94579	305
203.9673	297
203.9888	307
204.01031	309
204.03181	300
204.05331	307
204.07481	308
204.09633	301
204.11783	306
204.13933	308
204.16084	311
204.18234	308
204.20384	303
204.22534	304
204.24684	302
204.26836	307
204.28986	302
204.31136	309
204.33286	301
204.35435	299
204.37587	306
204.39737	308
204.41887	309
204.44037	302
204.46187	308
204.48337	304
204.50487	301
204.52637	299
204.54787	306
204.56937	308
204.59087	307
204.61237	307
204.63387	310
204.65536	304
204.67688	302
204.69836	303
204.71986	310
204.74136	307
204.76286	308
204.78436	311
204.80586	302
204.82736	309
204.84886	297
204.87036	310
204.89186	308
204.91336	302
204.93486	310
204.95636	296
204.97784	306
204.99934	307
205.02084	311
205.04234	302
205.06384	303
205.08534	302
205.10683	298
205.12833	308
205.14983	303
205.17133	307
205.19281	311
205.21431	306
205.23581	304
205.25731	304
205.27879	307
205.30029	301
205.32179	307
205.34328	297
205.36478	299
205.38628	296
205.40776	301
205.42926	309
205.45074	303
205.47224	311
205.49374	304
205.51523	306
205.53673	309
205.55821	307
205.57971	309
205.6012	311
205.6227	307
205.6442	304
205.66568	300
205.68718	306
205.70866	304
205.73015	300
205.75165	313
205.77313	305
205.79463	310
205.81612	308
205.83762	304
205.8591	304
205.88058	306
205.90208	316
205.92357	300
205.94507	306
205.96655	309
