Date and Time:                Fri Oct 28 12:04:38.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.6
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



278.45877	303
278.47992	299
278.50107	304
278.52225	306
278.5434	303
278.56454	302
278.58572	298
278.60687	304
278.62802	307
278.6492	311
278.67035	304
278.6915	304
278.71268	300
278.73383	305
278.75497	302
278.77615	304
278.7973	300
278.81845	302
278.83963	306
278.86078	303
278.88193	306
278.90308	310
278.92426	310
278.9454	310
278.96655	304
278.9877	304
279.00888	298
279.03003	302
279.05118	301
279.07233	305
279.09348	302
279.11465	304
279.1358	305
279.15695	297
279.1781	309
279.19925	306
279.22043	304
279.24158	304
279.26273	297
279.28387	306
279.30502	303
279.32617	301
279.34732	302
279.3685	299
279.38965	304
279.4108	298
279.43195	304
279.45309	303
279.47424	304
279.49539	303
279.51654	306
279.53769	308
279.55884	304
279.58002	302
279.60117	309
279.62231	299
279.64346	303
279.66461	307
279.68576	301
279.70691	303
279.72806	301
279.74921	305
279.77036	302
279.7915	304
279.81265	303
279.8338	305
279.85495	307
279.8761	301
279.89725	305
279.9184	305
279.93954	306
279.96069	301
279.98184	305
280.00299	301
280.02411	300
280.04526	299
280.06641	309
280.08755	303
280.1087	305
280.12985	299
280.151	302
280.17215	305
280.1933	303
280.21445	299
280.23557	304
280.25671	306
280.27786	298
280.29901	303
280.32016	297
280.34131	305
280.36246	305
280.38358	304
280.40472	299
280.42587	299
280.44702	308
280.46817	299
280.48929	303
280.51044	303
280.53159	304
280.55273	302
280.57388	301
280.595	305
280.61615	302
280.6373	303
280.65845	300
280.67957	304
280.70071	300
280.72186	302
280.74301	300
280.76413	303
280.78528	302
280.80643	306
280.82755	301
280.84869	309
280.86984	306
280.89096	307
280.91211	309
280.93326	298
280.95438	301
280.97552	304
280.99667	313
281.01779	300
281.03894	298
281.06009	299
281.08121	300
281.10236	303
281.12347	304
281.14462	297
281.16577	304
281.18689	304
281.20804	302
281.22916	305
281.25031	302
281.27145	305
281.29257	305
